paarcode,g_1,g_2,age_1,age_2,civil_status_1,civil_status_2,duration_months_1,duration_months_2,n_m_1,n_m_2,n_e_1,n_e_2,n_o_1,n_o_2,n_a_1,n_a_2,n_c_1,n_c_2,mean_relationship_satisfaction_1,mean_relationship_satisfaction_2,mean_relationship_satisfaction_T2_1,mean_relationship_satisfaction_T2_2,pooled_standardized_n_1,pooled_standardized_n_2,pooled_standardized_e_1,pooled_standardized_e_2,pooled_standardized_o_1,pooled_standardized_o_2,pooled_standardized_a_1,pooled_standardized_a_2,pooled_standardized_c_1,pooled_standardized_c_2,pooled_standardized_relationship_satisfaction_1,pooled_standardized_relationship_satisfaction_2,pooled_standardized_relationship_satisfaction_T2_1,pooled_standardized_relationship_satisfaction_T2_2
70,1,2,66,70,2,2,559,559,2,3,4,3,3,4,4,3,3,4,4,4,4.29,4,-1.29,0.07,-0.33,-0.95,-1.35,-0.21,-0.63,-1.21,-1.41,0.85,-0.11,-0.24,0.04,-0.54
71,1,2,19,21,1,1,33,33,3,3,3,4,4,3,4,3,5,4,5,4,,,0.66,0.07,-1.24,1.24,-0.1,-0.49,-0.22,-0.79,1.46,0.46,0.8,-0.24,,
72,1,2,54,72,2,2,362,362,3,4,3,3,4,4,4,4,3,4,3,,,,0.13,1.67,-1.06,-0.77,-0.1,1.3,-0.01,-0.16,-1.61,0.08,-1.69,,,
73,1,2,51,53,2,2,254,254,3,2,4,4,4,4,4,4,4,4,2,3,,,-0.23,-0.46,0.76,-0.04,0.44,0.04,-0.42,-0.58,0.12,-0.11,-3.95,-2.5,,
74,1,2,55,47,2,2,168,168,4,3,4,2,4,3,4,4,5,3,5,4,5,5,2.08,1.14,-0.15,-1.86,0.26,-0.41,-0.63,0.04,1.07,-1.26,1.25,-0.46,1.23,1.13
75,1,2,51,54,2,2,276,276,4,3,3,4,3,4,3,4,4,4,4,5,,,2.08,0.78,-1.24,0.51,-0.46,1.12,-1.47,0.88,0.31,0.27,-0.33,0.67,,
76,1,2,49,51,2,2,265,265,4,2,3,3,3,3,4,3,5,4,3,4,3.86,3.43,1.55,-0.46,-0.44,-0.77,-0.82,-0.49,-0.26,-1.83,0.88,-0.11,-1.47,-0.92,-0.67,-1.49
77,1,2,45,46,2,2,252,252,2,2,4,4,4,3,4,4,5,5,5,4,4.29,4.29,-0.76,-0.81,0.94,0.14,0.97,-1.92,0.41,0.88,1.65,1.23,0.57,-0.46,0.04,-0.06
78,1,2,53,62,2,2,294,294,1,3,5,4,4,3,5,3,5,4,3,4,,,-2.53,0.07,1.31,1.06,1.15,-0.67,2.29,-1.63,1.65,0.27,-1.69,-0.92,,
79,1,2,24,27,1,1,24,24,4,3,4,4,4,5,4,4,3,3,2,3,2.43,2.71,0.84,0.61,0.4,1.06,0.61,1.66,-0.84,0.25,-2.18,-1.64,-3.5,-2.5,-3.06,-2.68
80,1,2,20,23,1,1,40,40,3,3,2,3,3,3,4,3,3,4,4,4,,,0.66,1.32,-1.97,-0.22,-0.82,-1.03,1.04,-1.21,-1.41,-0.49,-1.01,-0.69,,
81,1,2,54,53,2,2,282,282,5,4,3,5,4,4,3,4,4,4,4,4,4.43,4.29,2.43,1.49,-0.51,1.6,1.15,1.3,-2.3,0.88,-0.46,0.66,-0.33,0.21,0.28,-0.06
82,1,2,23,24,1,1,4,4,4,3,4,4,4,4,4,3,4,4,5,5,4.14,4.86,0.84,0.78,-0.15,0.51,0.97,0.58,0.41,-1.21,-0.27,0.08,1.02,1.12,-0.2,0.89
83,1,2,19,20,1,1,29,29,4,4,3,3,4,3,4,4,4,1,4,3,,,1.55,2.2,-0.51,-0.4,0.44,-1.21,1.04,0.04,0.5,-4.51,-0.79,-1.82,,
84,1,2,54,54,2,2,318,318,3,3,3,4,4,3,4,4,4,4,4,5,4.71,4.71,-0.23,0.61,-0.51,0.69,-0.28,-0.85,0.2,-0.58,-0.46,-0.11,0.34,0.89,0.76,0.65
85,1,2,58,55,2,2,267,267,3,1,5,3,5,4,4,5,4,4,5,5,5,5,0.3,-1.88,1.86,-1.13,1.87,0.04,-0.01,1.51,-0.46,0.46,1.02,0.67,1.23,1.13
86,1,2,47,59,2,2,220,220,3,3,4,4,5,4,4,4,5,4,5,4,4.29,4.29,0.3,0.07,-0.33,0.69,1.69,0.76,0.2,-0.37,1.27,-0.3,0.8,0.21,0.04,-0.06
87,1,2,19,20,1,1,14,14,4,2,4,4,4,3,4,4,4,4,5,5,4.71,4.71,0.84,-0.64,0.58,0.69,-0.28,-1.57,-0.22,-0.16,-0.46,-0.11,1.25,1.12,0.76,0.65
88,1,2,18,20,1,1,24,24,2,3,4,4,4,4,5,3,4,4,5,5,4.86,4.86,-0.76,0.43,0.58,0.69,-0.1,0.04,1.66,-1.21,0.5,-0.49,1.02,0.89,1,0.89
89,1,2,47,51,2,2,254,255,4,2,4,4,3,4,3,4,4,4,5,5,4.86,4.86,1.19,-0.1,0.4,0.51,-1.53,-0.13,-1.47,-0.16,0.12,0.85,0.8,0.67,1,0.89
90,1,2,76,80,2,2,586,586,3,2,4,3,3,3,5,3,5,4,4,4,4.43,3.86,-0.58,-0.64,0.4,-0.59,-0.82,-0.67,1.66,-1.83,1.27,0.46,-0.56,-0.24,0.28,-0.78
91,1,2,56,56,2,2,257,257,5,2,4,3,3,3,5,5,3,4,4,4,,,2.61,-1.35,-0.33,-0.95,-1.35,-0.49,1.45,2.55,-1.22,0.66,-0.79,-0.24,,
92,1,2,81,85,2,2,684,684,2,2,4,4,3,4,4,5,5,5,5,5,,,-1.11,-0.99,-0.33,0.87,-1.18,-0.31,0.83,1.51,0.88,1.42,1.02,0.89,,
93,1,2,50,50,2,2,228,228,2,3,4,4,5,4,4,4,4,4,3,3,,,-0.76,0.07,0.94,0.14,1.51,0.76,0.62,0.67,-0.07,-0.11,-1.47,-1.82,,
94,1,2,57,58,2,2,291,291,3,2,3,4,5,4,4,4,4,5,4,4,4.29,4.43,0.3,-0.99,-1.24,0.14,2.05,-0.13,0.62,1.09,0.31,1.61,-1.01,-0.46,0.04,0.18
95,1,2,69,69,2,2,503,503,4,4,3,3,3,4,4,3,4,4,4,4,,,1.72,2.56,-0.88,-0.22,-1.53,0.58,-0.01,-1,0.12,-0.68,-0.79,-0.69,,
96,1,2,18,18,1,1,13,13,3,2,3,4,4,4,4,4,5,3,4,4,,,0.48,-0.99,-1.24,1.24,0.97,1.3,-0.84,1.3,1.07,-1.07,0.12,-0.92,,
97,1,2,50,57,2,2,325,325,2,2,4,3,3,4,4,4,5,4,4,4,,,-1.29,-0.46,0.94,-0.59,-1.35,-0.13,0.41,0.25,1.65,0.27,-0.56,-0.24,,
98,1,2,53,51,2,2,242,242,3,3,3,4,4,4,4,4,4,5,3,3,,,0.66,0.07,-0.51,0.87,0.08,0.58,0.41,0.04,0.69,1.42,-1.47,-1.82,,
99,1,2,49,49,2,2,241,241,3,2,3,3,3,4,4,4,3,4,4,4,,,0.13,-0.46,-1.43,-0.59,-1.18,0.4,-0.22,-0.58,-1.22,-0.11,0.34,-0.46,,
100,1,2,49,47,2,2,232,228,2,4,4,5,4,5,4,4,5,5,5,5,,,-1.11,1.85,0.76,1.42,0.08,1.66,1.04,0.04,1.46,1.23,1.02,0.44,,
101,1,2,74,80,2,2,600,600,3,2,4,4,4,5,4,4,4,5,5,5,4.71,4.29,0.48,-0.99,0.94,0.87,0.08,1.48,0.83,0.04,0.5,1.42,1.02,0.89,0.76,-0.06
102,1,2,19,20,1,1,21,21,4,2,3,2,3,3,3,4,3,3,5,4,4.43,4.14,1.37,-0.81,-0.51,-1.68,-0.46,-1.75,-1.89,0.04,-1.8,-1.64,0.8,0.21,0.28,-0.3
103,1,2,43,46,2,2,261,261,4,3,1,3,3,3,4,4,2,4,4,4,4.29,4.14,2.08,1.14,-3.61,-1.13,-1,-0.49,1.04,0.25,-4.29,0.46,-0.11,0.21,0.04,-0.3
104,1,2,46,55,2,2,251,251,2,2,4,4,4,4,5,4,4,5,5,5,,,-1.29,-1.35,0.03,0.87,0.61,0.22,1.45,0.25,0.31,1.42,1.25,1.12,,
105,1,2,82,92,2,2,756,756,2,3,4,3,4,4,4,3,3,4,5,5,,,-0.76,0.61,0.4,-0.59,0.44,-0.13,0.83,-1,-2.56,-0.49,1.25,1.12,,
106,1,2,49,48,2,2,218,218,3,2,3,3,4,4,5,4,3,4,4,4,4.43,4.29,-0.58,-0.28,-1.79,-0.22,0.44,0.04,1.24,0.04,-1.41,0.08,-0.11,-0.01,0.28,-0.06
107,1,2,48,56,2,2,265,265,2,2,4,4,3,3,4,4,5,4,5,5,4.71,4.86,-0.94,-0.46,0.76,0.33,-0.46,-0.49,0.41,0.04,1.27,0.66,0.57,0.89,0.76,0.89
108,1,2,47,56,2,2,252,252,3,2,4,4,3,4,4,4,4,4,3,5,,,-0.41,-0.81,0.76,1.24,-1,0.22,1.04,0.46,0.12,0.46,-1.92,0.67,,
109,1,2,79,80,2,2,596,596,4,4,2,5,4,4,3,3,5,4,4,3,,,1.72,1.49,-2.34,1.6,0.08,-0.13,-1.89,-1.63,1.46,-0.49,-0.56,-2.73,,
110,1,2,75,78,2,2,623,634,2,1,4,5,5,4,4,5,4,4,4,5,4.57,4.86,-0.76,-1.88,0.4,1.6,1.51,0.22,0.83,2.13,0.12,0.85,0.34,1.12,0.52,0.89
111,1,2,18,18,1,1,15,15,3,2,4,4,4,5,4,4,4,4,5,5,,,-0.05,-0.28,0.21,0.69,0.26,1.83,-0.22,0.46,-0.65,0.85,1.02,1.12,,
112,1,2,45,49,2,2,242,242,2,3,3,3,4,4,4,5,4,4,3,4,3.71,4.14,-1.29,1.32,-1.43,-0.95,1.15,0.76,0.41,1.51,-0.46,0.08,-1.24,-0.24,-0.91,-0.3
113,1,2,52,53,2,2,261,261,2,3,4,3,4,4,4,4,4,4,4,4,,,-0.76,0.78,0.4,-0.4,0.08,0.58,0.2,-0.16,-0.27,-0.11,-0.79,-1.14,,
114,1,2,52,53,2,2,219,219,3,2,4,4,5,4,4,4,3,4,4,4,4.43,4.14,0.3,-0.81,0.4,0.51,1.51,1.3,-0.42,0.67,-1.03,0.46,0.34,-0.24,0.28,-0.3
